Unnamed: 0,1_동해운수,2_대화역,3_일산서구청.백병원(중),4_문촌마을(중),5_주엽역(중),6_강선마을(중),7_일산동부경찰서,8_일산동구청(중),9_마두역(중),10_금계초등학교.이마트,11_법원공무원교육청,12_백석8블록,13_일산병원,14_어린이교통공원,15_화훼단지,16_섬말다리,17_신주택,18_일산화훼단지,19_삼성당,20_삼성당다리,21_삼화연립,22_능곡초교,23_능곡시장,24_능곡역,25_능곡전화국,26_토당초등학교.우창프라자,27_행신동삼거리.무원마을10단지,28_무원고교,29_소만초등학교.소만마을8단지,30_가라뫼.소만마을1단지,31_서정마을(중),32_화전역앞(중),33_화전역앞,34_항공대학교,35_화전동주민센터,36_덕은동(중),37_덕은교.은평차고지앞,38_수색교,39_수색역앞,40_디지털미디어시티역,41_북가좌동삼거리,42_DMC래미안e.편한세상요진아파트,43_모래내시장.가좌역,44_사천교,45_연희104고지앞.구성산회관,46_서대문우체국,47_연세대앞,48_세브란스병원앞,49_이대후문,50_사직단,51_서울경찰청.경복궁역,52_세종문화회관,53_광화문광화문빌딩,54_삼성본관앞,55_숭례문.한국일보,56_경찰청.동북아역사재단,57_미동초등학교,58_충정로역,59_아현역,60_웨딩타운,61_이대역,62_신촌오거리.2호선신촌역,63_신촌오거리.현대백화점,64_동교동삼거리,65_연희동대우아파트,66_연희104고지앞.구성산회관,67_사천교,68_모래내시장.가좌역,69_DMC래미안e.편한세상요진아파트,70_북가좌동삼거리,71_디지털미디어시티역,72_수색역앞,73_수색교,74_덕은교.은평차고지앞,75_덕은동(중),76_화전동주민센터,77_항공대학교,78_화전역앞,79_화전역앞(중),80_서정마을(중),81_소만마을,82_가라뫼.한전앞,83_무원고교,84_행신SK뷰아파트,85_행신동삼거리,86_토당초등학교.우창프라자,87_능곡전화국,88_능곡역.능곡시장,89_능곡초등학교,90_능곡삼거리.금호아파트,91_삼화연립,92_삼성당다리,93_삼성당,94_일산화훼단지,95_신주택,96_섬말다리,97_화훼단지,98_어린이교통공원,99_일산병원,100_백석7블록,101_백석동우체국,102_백신중학교.이마트,103_마두역(중),104_일산동구청(중),105_일산동부경찰서,106_강선마을(중),107_주엽역(중),108_문촌마을(중),109_일산서구청,110_대화역,111_대화동종점,21_능곡초교,22_능곡시장,23_능곡역,24_능곡전화국,25_토당초등학교.우창프라자,26_행신동삼거리.무원마을10단지,27_무원고교,28_소만초등학교.소만마을8단지,29_가라뫼.소만마을1단지,30_서정마을(중),31_화전역앞(중),32_화전역앞,33_항공대학교,34_화전동주민센터,35_덕은동(중),36_덕은교.은평차고지앞,37_수색교,38_수색역앞,39_디지털미디어시티역,40_북가좌동삼거리,41_DMC래미안e.편한세상요진아파트,42_모래내시장.가좌역,43_사천교,44_연희104고지앞.구성산회관,45_서대문우체국,46_연세대앞,47_세브란스병원앞,48_이대후문,49_사직단,50_서울경찰청.경복궁역,51_세종문화회관,52_광화문광화문빌딩,53_삼성본관앞,54_숭례문.한국일보,55_경찰청.동북아역사재단,56_미동초등학교,57_충정로역,58_아현역,59_웨딩타운,60_이대역,61_신촌오거리.2호선신촌역,62_신촌오거리.현대백화점,63_동교동삼거리,64_연희동대우아파트,65_연희104고지앞.구성산회관,66_사천교,67_모래내시장.가좌역,68_DMC래미안e.편한세상요진아파트,69_북가좌동삼거리,70_디지털미디어시티역,71_수색역앞,72_수색교,73_덕은교.은평차고지앞,74_덕은동(중),75_화전동주민센터,76_항공대학교,77_화전역앞,78_화전역앞(중),79_서정마을(중),80_소만마을,81_가라뫼.한전앞,82_무원고교,83_행신SK뷰아파트,84_행신동삼거리,85_토당초등학교.우창프라자,86_능곡전화국,87_능곡역.능곡시장,88_능곡초등학교,89_삼성당다리,90_삼성당,91_일산화훼단지,92_신주택,93_섬말다리,94_화훼단지,95_어린이교통공원,96_일산병원,97_백석7블록,98_백석동우체국,99_백신중학교.이마트,100_마두역(중),101_일산동구청(중),102_일산동부경찰서,103_강선마을(중),104_주엽역(중),105_문촌마을(중),106_일산서구청,107_대화역,108_대화동종점
2022-04-09 07:00:00,1,0,1,2,1,1,3,0,2,0,2,3,4,0,1,3,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,5.0,7.0,5.0,9.0,10.0,11.0,10.0,10.0,11.0,12.0,9.0,0.0,11.0,10.0,11.0,10.0,13.0,6.0,12.0,10.0,9.0,8.0,4.0,7.0,5.0,4.0,5.0,3.0,3.0,1.0,3.0,2.0,0.0,1.0,2.0,2.0,3.0,4.0,2.0,6.0,5.0,3.0,2.0,2.0,1.0,2.0,0.0,3.0,1.0,0.0,3.0,3.0,4.0,0.0,3.0,0.0,3.0,1.0,8.0,2.0,10.0,9.0,12.0,13.0,13.0,16.0,10.0,15.0,0.0,14.0,13.0,12.0,5.0,8.0,7.0,0.0,7.0,8.0,7.0,5.0,5.0,1.0,2.0,0.0,0.0,0.0
2022-04-09 08:00:00,0,2,2,4,4,6,8,5,4,0,3,5,8,9,8,6,4,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.0,9.0,4.0,9.0,12.0,14.0,17.0,18.0,21.0,20.0,18.0,0.0,8.0,22.0,24.0,21.0,19.0,19.0,19.0,19.0,17.0,16.0,15.0,16.0,13.0,11.0,10.0,4.0,5.0,4.0,3.0,2.0,1.0,1.0,3.0,5.0,4.0,0.0,2.0,2.0,4.0,3.0,4.0,0.0,6.0,0.0,7.0,6.0,5.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,6.0,8.0,11.0,12.0,12.0,10.0,12.0,10.0,9.0,0.0,8.0,9.0,0.0,8.0,7.0,8.0,9.0,3.0,6.0,4.0,4.0,4.0,0.0,5.0,4.0,0.0,0.0
2022-04-09 09:00:00,0,1,1,5,6,0,5,3,4,0,2,5,6,0,0,5,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.0,9.0,4.0,10.0,12.0,13.0,17.0,15.0,10.0,0.0,9.0,12.0,11.0,18.0,20.0,18.0,15.0,12.0,12.0,13.0,15.0,16.0,13.0,19.0,17.0,16.0,12.0,13.0,7.0,5.0,7.0,6.0,5.0,3.0,8.0,5.0,6.0,7.0,7.0,6.0,7.0,3.0,2.0,2.0,1.0,4.0,0.0,5.0,7.0,3.0,0.0,3.0,4.0,5.0,6.0,0.0,6.0,6.0,6.0,7.0,9.0,7.0,8.0,9.0,10.0,11.0,11.0,9.0,10.0,8.0,0.0,8.0,0.0,0.0,6.0,10.0,12.0,11.0,9.0,6.0,5.0,2.0,0.0,3.0,1.0,1.0,0.0
2022-04-09 10:00:00,0,2,3,4,5,3,7,4,6,5,6,4,6,0,2,0,0,5,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,10.0,8.0,0.0,7.0,13.0,14.0,15.0,15.0,16.0,13.0,0.0,17.0,15.0,20.0,18.0,16.0,16.0,15.0,18.0,18.0,19.0,18.0,17.0,16.0,15.0,0.0,15.0,14.0,11.0,10.0,8.0,3.0,2.0,1.0,0.0,0.0,1.0,2.0,3.0,2.0,6.0,6.0,6.0,4.0,3.0,5.0,4.0,6.0,9.0,8.0,0.0,11.0,11.0,7.0,10.0,10.0,11.0,10.0,10.0,10.0,8.0,10.0,11.0,10.0,10.0,11.0,14.0,13.0,0.0,10.0,12.0,13.0,0.0,12.0,8.0,9.0,9.0,9.0,9.0,7.0,6.0,5.0,1.0,2.0,0.0,0.0,0.0
2022-04-09 11:00:00,0,2,2,3,4,6,7,6,6,5,3,2,5,3,0,2,3,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,7.0,3.0,8.0,14.0,15.0,16.0,15.0,17.0,9.0,5.0,18.0,0.0,18.0,14.0,17.0,16.0,14.0,13.0,16.0,15.0,14.0,15.0,16.0,18.0,20.0,22.0,19.0,17.0,9.0,6.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0,5.0,3.0,0.0,2.0,1.0,3.0,4.0,5.0,0.0,7.0,7.0,7.0,8.0,8.0,0.0,0.0,9.0,6.0,7.0,11.0,11.0,12.0,14.0,12.0,11.0,14.0,12.0,13.0,11.0,10.0,11.0,8.0,6.0,8.0,4.0,0.0,10.0,9.0,8.0,6.0,6.0,3.0,4.0,4.0,3.0,0.0,1.0,0.0,0.0
2022-04-09 12:00:00,0,1,2,4,5,3,2,9,7,6,8,7,9,7,2,4,0,0,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,12.0,11.0,7.0,10.0,16.0,16.0,17.0,16.0,16.0,11.0,0.0,15.0,0.0,18.0,18.0,16.0,15.0,20.0,21.0,15.0,18.0,0.0,18.0,19.0,18.0,20.0,22.0,19.0,11.0,12.0,9.0,7.0,8.0,3.0,8.0,7.0,10.0,4.0,5.0,8.0,12.0,11.0,6.0,11.0,13.0,18.0,17.0,9.0,9.0,10.0,9.0,7.0,10.0,0.0,12.0,13.0,10.0,12.0,10.0,10.0,11.0,8.0,9.0,5.0,8.0,7.0,8.0,8.0,0.0,7.0,7.0,3.0,8.0,0.0,6.0,7.0,9.0,2.0,6.0,6.0,5.0,4.0,3.0,2.0,0.0,0.0,0.0
2022-04-09 13:00:00,0,3,5,4,6,8,11,12,11,11,10,7,7,8,7,0,6,4,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.0,7.0,0.0,8.0,13.0,10.0,13.0,15.0,12.0,11.0,14.0,0.0,11.0,16.0,15.0,14.0,12.0,12.0,14.0,10.0,10.0,9.0,12.0,8.0,11.0,8.0,12.0,18.0,15.0,13.0,10.0,12.0,11.0,2.0,9.0,9.0,10.0,7.0,7.0,9.0,14.0,13.0,10.0,9.0,8.0,9.0,9.0,16.0,9.0,11.0,10.0,13.0,13.0,12.0,8.0,13.0,12.0,9.0,14.0,15.0,13.0,10.0,10.0,12.0,9.0,13.0,16.0,7.0,6.0,11.0,5.0,6.0,13.0,13.0,12.0,14.0,14.0,13.0,6.0,2.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0
2022-04-09 14:00:00,2,3,0,2,5,4,5,8,12,9,8,11,12,0,1,13,0,8,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,12.0,8.0,12.0,12.0,17.0,22.0,23.0,21.0,18.0,12.0,16.0,17.0,16.0,12.0,17.0,15.0,14.0,18.0,15.0,19.0,18.0,21.0,16.0,15.0,20.0,4.0,21.0,19.0,13.0,8.0,7.0,7.0,4.0,4.0,3.0,5.0,0.0,0.0,5.0,6.0,5.0,3.0,6.0,9.0,9.0,14.0,8.0,18.0,24.0,8.0,0.0,11.0,5.0,8.0,10.0,12.0,13.0,9.0,9.0,10.0,9.0,9.0,9.0,7.0,8.0,9.0,11.0,0.0,11.0,0.0,0.0,17.0,0.0,17.0,12.0,18.0,17.0,16.0,12.0,8.0,6.0,7.0,2.0,0.0,1.0,0.0,0.0
2022-04-09 15:00:00,1,5,6,7,2,6,5,7,8,6,8,4,9,8,0,11,12,14,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,9.0,10.0,10.0,13.0,14.0,14.0,13.0,14.0,11.0,0.0,15.0,0.0,14.0,12.0,9.0,12.0,12.0,16.0,20.0,17.0,17.0,16.0,16.0,16.0,0.0,15.0,15.0,16.0,8.0,9.0,6.0,8.0,12.0,13.0,5.0,7.0,8.0,12.0,17.0,22.0,20.0,18.0,8.0,25.0,24.0,11.0,23.0,23.0,22.0,19.0,20.0,17.0,15.0,9.0,11.0,0.0,13.0,14.0,13.0,12.0,14.0,18.0,17.0,13.0,12.0,12.0,13.0,14.0,0.0,0.0,13.0,14.0,13.0,14.0,14.0,15.0,13.0,9.0,8.0,5.0,3.0,3.0,2.0,2.0,1.0,0.0
2022-04-09 16:00:00,1,3,1,2,5,5,6,8,14,12,11,14,18,12,11,20,0,0,21,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,8.0,8.0,10.0,4.0,7.0,10.0,11.0,10.0,14.0,7.0,8.0,12.0,0.0,7.0,10.0,6.0,4.0,6.0,10.0,6.0,9.0,8.0,7.0,6.0,8.0,9.0,8.0,11.0,9.0,9.0,10.0,8.0,7.0,9.0,8.0,10.0,11.0,12.0,18.0,10.0,19.0,19.0,17.0,14.0,14.0,12.0,14.0,15.0,19.0,12.0,19.0,19.0,20.0,21.0,18.0,20.0,9.0,16.0,16.0,17.0,14.0,9.0,12.0,11.0,10.0,11.0,12.0,10.0,9.0,7.0,0.0,0.0,8.0,7.0,7.0,8.0,8.0,8.0,9.0,6.0,6.0,4.0,5.0,4.0,3.0,1.0,0.0
2022-04-09 17:00:00,0,2,0,0,4,8,7,11,14,13,12,10,12,11,10,11,0,0,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,12.0,12.0,13.0,12.0,14.0,13.0,16.0,15.0,12.0,14.0,16.0,15.0,14.0,13.0,12.0,14.0,12.0,11.0,9.0,11.0,10.0,11.0,13.0,6.0,11.0,0.0,12.0,11.0,7.0,8.0,9.0,8.0,8.0,0.0,7.0,12.0,13.0,15.0,14.0,16.0,25.0,27.0,20.0,23.0,20.0,20.0,18.0,17.0,15.0,15.0,14.0,16.0,8.0,10.0,9.0,14.0,0.0,14.0,15.0,13.0,12.0,12.0,10.0,11.0,7.0,9.0,13.0,14.0,11.0,0.0,0.0,12.0,7.0,13.0,10.0,7.0,8.0,11.0,10.0,6.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0
2022-04-09 18:00:00,0,1,2,3,4,5,4,12,18,0,15,14,15,16,7,12,0,0,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,13.0,14.0,16.0,15.0,14.0,12.0,16.0,15.0,13.0,0.0,12.0,11.0,12.0,12.0,11.0,10.0,12.0,9.0,11.0,8.0,8.0,9.0,8.0,7.0,9.0,3.0,10.0,11.0,8.0,5.0,4.0,5.0,13.0,9.0,14.0,13.0,6.0,0.0,8.0,6.0,11.0,14.0,14.0,16.0,13.0,13.0,13.0,14.0,15.0,18.0,20.0,20.0,18.0,20.0,19.0,20.0,0.0,14.0,12.0,12.0,10.0,8.0,7.0,6.0,7.0,9.0,11.0,0.0,13.0,6.0,5.0,0.0,14.0,9.0,13.0,10.0,7.0,5.0,11.0,10.0,8.0,5.0,2.0,1.0,3.0,0.0,0.0
2022-04-09 19:00:00,2,3,0,4,6,9,10,5,8,9,11,10,11,0,0,9,0,11,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,11.0,15.0,16.0,15.0,9.0,5.0,9.0,6.0,6.0,11.0,10.0,3.0,0.0,5.0,8.0,1.0,7.0,8.0,4.0,7.0,9.0,8.0,4.0,3.0,2.0,3.0,0.0,6.0,4.0,0.0,7.0,7.0,4.0,0.0,4.0,5.0,5.0,5.0,9.0,12.0,15.0,16.0,15.0,10.0,16.0,17.0,11.0,14.0,15.0,14.0,14.0,14.0,13.0,12.0,11.0,7.0,0.0,14.0,19.0,18.0,13.0,9.0,8.0,6.0,5.0,7.0,8.0,7.0,8.0,0.0,0.0,6.0,7.0,5.0,4.0,6.0,8.0,6.0,6.0,7.0,6.0,0.0,5.0,4.0,0.0,2.0,0.0
2022-04-09 20:00:00,0,1,2,3,4,5,11,11,9,7,8,4,8,3,0,0,6,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,6.0,6.0,8.0,5.0,9.0,8.0,7.0,7.0,4.0,6.0,3.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,2.0,3.0,4.0,5.0,2.0,7.0,10.0,1.0,9.0,10.0,11.0,13.0,12.0,12.0,10.0,10.0,10.0,9.0,9.0,7.0,12.0,9.0,11.0,8.0,9.0,0.0,12.0,12.0,9.0,11.0,12.0,12.0,11.0,6.0,6.0,4.0,5.0,5.0,5.0,4.0,3.0,2.0,0.0,4.0,0.0,4.0,3.0,2.0,4.0,0.0,5.0,3.0,2.0,5.0,5.0,5.0,3.0,1.0,0.0
2022-04-09 21:00:00,0,1,1,0,2,2,7,10,10,0,9,10,13,0,0,0,0,0,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,10.0,11.0,12.0,11.0,12.0,15.0,14.0,5.0,7.0,2.0,3.0,4.0,6.0,3.0,2.0,5.0,3.0,4.0,3.0,2.0,5.0,6.0,0.0,5.0,2.0,1.0,1.0,1.0,4.0,3.0,4.0,4.0,6.0,5.0,3.0,2.0,9.0,6.0,8.0,10.0,13.0,17.0,17.0,18.0,16.0,16.0,0.0,16.0,18.0,15.0,14.0,16.0,15.0,16.0,0.0,17.0,0.0,17.0,19.0,10.0,9.0,10.0,9.0,0.0,8.0,8.0,6.0,5.0,4.0,2.0,4.0,4.0,0.0,3.0,3.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
2022-04-09 22:00:00,0,3,1,4,3,3,9,13,14,13,10,0,11,3,0,0,0,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,7.0,4.0,5.0,7.0,10.0,0.0,9.0,4.0,8.0,0.0,7.0,6.0,5.0,5.0,3.0,2.0,3.0,4.0,3.0,1.0,3.0,2.0,1.0,4.0,5.0,6.0,3.0,4.0,7.0,11.0,10.0,10.0,13.0,12.0,13.0,11.0,11.0,0.0,14.0,15.0,15.0,18.0,12.0,15.0,13.0,15.0,14.0,16.0,12.0,10.0,10.0,9.0,11.0,0.0,12.0,10.0,10.0,13.0,18.0,17.0,11.0,8.0,8.0,8.0,8.0,6.0,5.0,7.0,0.0,1.0,5.0,0.0,0.0,1.0,3.0,7.0,0.0,6.0,3.0,5.0,0.0,5.0,3.0,2.0,1.0,0.0
2022-04-09 23:00:00,0,2,0,0,6,4,7,17,10,6,11,10,7,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,7.0,5.0,5.0,5.0,0.0,5.0,6.0,8.0,1.0,0.0,0.0,5.0,4.0,3.0,2.0,3.0,4.0,1.0,2.0,5.0,0.0,3.0,0.0,3.0,4.0,3.0,2.0,5.0,10.0,11.0,9.0,6.0,4.0,0.0,4.0,3.0,5.0,6.0,7.0,9.0,11.0,15.0,4.0,12.0,11.0,0.0,9.0,17.0,9.0,10.0,16.0,15.0,0.0,9.0,16.0,0.0,15.0,13.0,14.0,13.0,9.0,7.0,6.0,3.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,5.0,2.0,8.0,4.0,5.0,7.0,0.0,0.0,0.0
2022-04-10 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-10 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-10 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-10 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-10 04:00:00,0,1,0,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-10 05:00:00,0,0,0,0,0,2,2,1,2,0,3,0,2,0,0,1,0,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,8.0,4.0,7.0,5.0,0.0,6.0,5.0,0.0,0.0,5.0,0.0,0.0,6.0,5.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-10 06:00:00,1,1,0,2,0,3,4,3,4,0,2,0,2,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,4.0,5.0,3.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,3.0,3.0,0.0,0.0,4.0,0.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,4.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,4.0,5.0,4.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
