Unnamed: 0,1_개화역광역환승센터,2_개화역1번출구.개화검문소,3_개화119안전센터,4_방화중학교,5_국립항공박물관.공항동천주교회,6_공항동송정중학교,7_강서면허시험장.메이필드호텔,8_마곡수명산파크7단지,9_마곡수명산파크5단지6단지,10_마곡수명산파크2단지,11_마곡엠밸리15단지아파트,12_마곡역,13_마곡나루역4번출구.서울식물원,14_마곡나루역,15_롯데R&D센터,16_마곡실내배드민턴장,17_겸재정선미술관.서울식물원,18_양천초등학교.겸재정선미술관,19_등촌3동주공4단지아파트,20_등촌3동5단지아파트.등촌고등학교,21_등촌3동주공10단지아파트,22_서울서진학교,23_가양동천주교영등포공업고등학교,24_가양2단지성지아파트.동양고등학교,25_가양한강타운아파트,26_양천향교입구,27_양천향교역,28_서울강서우체국,29_서울호서전문학교.등촌주공3단지아파트,30_발산역2번출구,31_발산역.우장산힐스테이트,32_명덕고등학교.서울스타병원,33_우장산역,34_강서힐스테이트아파트,35_우장산동주민센터,36_문성유치원,37_우장산투웨니퍼스트오피스텔,38_우장초등학교,39_강서구청.한국건강관리협회,40_경복비즈니스고등학교,41_가양역.마포중고등학교,42_가양역.현대프린스텔,43_강서구청별관,44_가양7단지상가,45_가양3동도시개발9단지아파트,46_이마트.강서소방서,47_강서구청별관,48_가양3동도시개발6단지아파트,49_가양2동강변아파트,50_대림경동아파트,51_탑산초등학교허준박물관,52_가양동천주교영등포공업고등학교,53_가양2단지성지아파트.동양고등학교,54_가양한강타운아파트,55_양천향교입구,56_양천초등학교.겸재정선미술관,57_겸재정선미술관.서울식물원,58_마곡실내배드민턴장,59_롯데R&D센터,60_마곡나루역,61_마곡나루역5번출구.서울식물원,62_마곡역(가로변),63_마곡엠밸리14단지아파트,64_마곡수명산파크2단지,65_마곡수명산파크3단지4단지,66_마곡수명산파크7단지,67_강서면허시험장.메이필드호텔,68_공항동송정중학교,69_국립항공박물관.공항동천주교회,70_공항동지하도입구,71_롯데몰.김포공항역,72_방화동도시개발11단지,73_개화119안전센터,74_개화역광역환승센터,75_강서공영차고지(종점가상)
2022-04-15 08:00:00,1,6,0,6,7,6,5,12,20,33,32,32,16,12,9,0,3,2,1,3,0,1,0,9,9,9,19,21,13,11,10,8,11,17,20,33,36,50,53,47,23,22,16,11,7,3,4,9,9,11,10,10,16,16,14,20,22,19,16,17,27,22,19,18,16,13,10,9,10,10,7,2,0,0,0
2022-04-15 09:00:00,0,3,0,3,2,1,4,7,12,18,19,12,6,3,0,1,4,3,4,0,3,2,2,5,10,9,10,0,9,8,5,5,5,7,5,7,6,12,13,12,11,12,7,3,2,1,1,3,3,6,1,5,7,6,6,7,6,6,6,8,9,7,4,8,7,7,7,6,6,5,2,1,0,0,0
2022-04-15 10:00:00,0,1,3,2,2,0,2,6,7,12,14,26,8,3,2,0,0,1,1,0,0,2,2,1,8,9,9,3,8,6,6,6,7,8,8,6,5,7,13,11,6,5,5,3,3,2,1,3,3,4,5,2,6,6,5,5,2,3,3,6,8,6,5,3,3,2,4,3,4,2,2,1,0,0,0
2022-04-15 11:00:00,0,1,0,0,0,0,2,7,12,14,15,13,3,2,2,0,1,0,0,0,2,0,0,4,8,8,7,7,5,5,6,4,5,6,5,5,5,9,11,9,6,4,4,4,3,2,1,0,3,4,3,2,5,0,3,4,5,3,2,7,7,5,4,3,3,0,3,4,1,2,1,0,0,0,0
2022-04-15 12:00:00,2,1,0,3,4,0,3,2,7,12,13,12,4,1,0,0,0,0,0,0,0,1,1,2,4,5,5,4,5,8,9,7,6,7,8,7,6,5,10,8,6,4,5,4,1,4,3,2,0,1,1,0,4,4,5,4,5,6,6,8,11,9,8,3,7,6,4,4,5,4,3,1,0,0,0
2022-04-15 13:00:00,0,3,0,6,0,5,2,4,6,11,14,11,3,4,0,2,2,2,2,0,0,2,2,5,7,8,9,9,8,6,8,7,9,11,9,10,9,6,11,8,4,6,3,3,0,4,3,1,3,5,6,3,4,7,0,8,7,10,6,9,13,11,10,8,5,3,3,4,4,0,2,0,0,0,0
2022-04-15 14:00:00,2,1,0,3,0,1,6,6,9,12,12,12,9,9,0,9,6,5,0,0,0,0,0,3,6,7,10,0,9,6,5,5,11,10,11,6,7,8,15,15,18,16,12,11,1,5,3,6,4,2,4,3,5,6,4,4,1,5,4,8,12,9,10,6,5,4,4,5,5,3,3,2,0,0,0
2022-04-15 15:00:00,1,0,1,3,0,1,3,5,8,10,14,11,7,4,0,0,1,3,4,2,1,1,3,5,8,4,6,6,7,15,12,25,25,26,20,20,14,12,13,12,10,9,8,8,3,3,0,0,3,1,2,0,5,3,4,5,0,0,5,13,20,15,13,9,6,7,7,6,3,4,4,1,0,0,0
2022-04-15 16:00:00,0,3,0,2,1,2,3,6,6,11,10,10,5,3,3,2,3,2,1,3,3,5,15,18,18,16,24,27,23,22,25,22,19,18,16,13,16,10,10,10,9,11,7,5,2,10,3,11,11,12,10,9,9,8,4,2,5,6,7,13,18,14,9,7,6,7,8,9,5,7,2,1,0,0,0
2022-04-15 17:00:00,3,4,0,6,4,4,6,8,9,12,15,15,6,4,5,3,4,3,2,1,2,0,5,4,13,12,13,10,11,12,13,13,16,18,13,11,8,9,14,11,9,5,3,1,2,4,6,3,9,6,5,8,9,10,14,11,11,11,13,19,29,23,20,12,9,11,15,17,17,15,6,1,0,0,0
2022-04-15 18:00:00,1,3,4,5,4,5,8,10,11,14,15,18,11,7,5,5,3,4,3,0,4,5,7,14,14,18,20,19,21,21,23,26,29,34,33,24,20,12,16,8,8,9,7,3,1,5,3,4,5,6,7,6,5,8,7,9,10,11,11,26,36,34,26,19,12,11,11,7,8,6,4,1,0,0,0
2022-04-15 19:00:00,0,3,1,4,3,2,6,5,9,12,14,13,8,4,0,6,5,5,4,2,4,0,5,5,10,8,16,16,10,13,11,11,12,14,18,12,10,6,7,6,5,4,3,3,2,4,3,1,4,0,3,1,2,5,4,5,6,4,5,22,28,26,22,12,10,5,3,1,4,1,1,1,0,0,0
2022-04-15 20:00:00,0,0,1,0,3,4,3,3,2,7,0,5,3,5,6,8,0,2,3,2,1,3,3,2,3,6,7,7,9,9,9,11,15,20,17,11,7,9,7,8,7,6,3,2,1,3,0,2,5,6,2,5,4,0,0,5,4,1,6,15,26,23,22,12,8,7,4,3,7,6,4,0,0,0,0
2022-04-15 21:00:00,0,0,0,2,0,0,3,3,3,5,6,7,3,3,0,0,6,3,3,0,5,3,2,6,7,8,10,11,10,11,11,10,13,19,13,10,6,4,4,4,4,3,2,0,0,2,0,1,2,0,0,0,0,4,1,3,0,0,0,15,25,25,17,9,4,4,3,2,6,0,0,0,0,0,0
2022-04-15 22:00:00,0,1,0,3,0,1,3,2,3,4,4,3,3,3,3,1,3,2,1,2,5,1,1,3,1,2,7,8,6,15,14,13,14,15,10,7,5,3,2,1,2,2,1,0,1,1,2,0,0,0,1,1,0,0,0,1,0,2,0,17,22,24,21,10,6,3,4,2,0,1,1,0,0,0,0
2022-04-15 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,4,3,2,0,1,2,0,1,1,1,0,0,2,0,0,0,0,0,1,0,0,1,2,1,0,0,16,24,21,16,11,7,4,2,2,0,0,1,0,0,0,0
2022-04-16 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-16 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-16 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-16 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
